coaster,coasterLabel,parkLabel,makerLabel,materialLabel,heightM,lengthM,speedMS,opened,closed
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.7889236,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.8,1316,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.8,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,steel,62.7889236,1316,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,steel,62.7889236,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,steel,62.8,1316,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,steel,62.8,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.7889236,1316,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.7889236,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.8,1316,33.6111111111111111138,,
http://www.wikidata.org/entity/Q57835594,Zadra,,Rocky Mountain Construction,wood,62.8,1316.00707056,33.6111111111111111138,,
http://www.wikidata.org/entity/Q59799476,Max & Moritz,Kaatsheuvel,Mack Rides GmbH & Co KG,,6,300,10.0000000000000000008,2020-06-20T00:00:00Z,
http://www.wikidata.org/entity/Q59799476,Max & Moritz,Efteling,Mack Rides GmbH & Co KG,,6,300,10.0000000000000000008,2020-06-20T00:00:00Z,
http://www.wikidata.org/entity/Q60729793,Untamed,Biddinghuizen,Rocky Mountain Construction,steel,36.5,1085,25.5555555555555555576,2019-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q60729793,Untamed,Biddinghuizen,Rocky Mountain Construction,wood,36.5,1085,25.5555555555555555576,2019-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q62089668,Fury,Lichtaart,Gerstlauer Amusement Rides GmbH,,43,600,29.61111111111111111348,,
http://www.wikidata.org/entity/Q63196746,Eurosat - CanCan Coaster,,Mack Rides GmbH & Co KG,,25.5,900,16.666666666666666668,2018-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q63196746,Eurosat - CanCan Coaster,,Mack Rides GmbH & Co KG,,25.5,900,16.666666666666666668,2018-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q65560494,Fun Pilot,Walibi Belgium,ZIERER Karussell- und Spezialmaschinenbau GmbH & Co. KG,,9.5,190,11.111111111111111112,2019-05-25T00:00:00Z,
http://www.wikidata.org/entity/Q253534,Calamity Mine,Walibi Belgium,Vekoma Rides Manufacturing B.V.,,14,785,13.44444444444444444552,1992-07-16T00:00:00Z,
http://www.wikidata.org/entity/Q261806,Loup Garou,Walibi Belgium,Vekoma Rides Manufacturing B.V.,wood,27.98,1034.8,22.222222222222222224,,
http://www.wikidata.org/entity/Q283168,Son of Beast,,Roller Coaster Corporation of America,,66.4465308,2143.3578192,35.047936,2000-04-28T00:00:00Z,2009-06-16T00:00:00Z
http://www.wikidata.org/entity/Q283168,Son of Beast,,Roller Coaster Corporation of America,,66.4465308,2143.3578192,35.047936,2000-04-28T00:00:00Z,2009-06-16T00:00:00Z
http://www.wikidata.org/entity/Q287217,iSpeed,Mirabilandia,Intamin Amusement Rides Int. Corp. Est.,,55,980,30.555555555555555558,2009-05-20T00:00:00Z,
http://www.wikidata.org/entity/Q287217,iSpeed,Mirabilandia,Intamin Amusement Rides Int. Corp. Est.,,55,980,30.555555555555555558,2009-05-20T00:00:00Z,
http://www.wikidata.org/entity/Q290976,X²,Six Flags Magic Mountain,Arrow Dynamics,,53,1100,33.8888888888888888916,,
http://www.wikidata.org/entity/Q319081,Black Mamba,,Bolliger & Mabillard,,26,768,22.222222222222222224,,
http://www.wikidata.org/entity/Q319452,Poseidon,,Mack Rides GmbH & Co KG,,23,836,19.444444444444444446,,
http://www.wikidata.org/entity/Q319452,Poseidon,,Mack Rides GmbH & Co KG,,23,836,19.444444444444444446,,
http://www.wikidata.org/entity/Q319652,Atlantica SuperSplash,,Mack Rides GmbH & Co KG,,30,390,22.222222222222222224,2005-03-19T00:00:00Z,
http://www.wikidata.org/entity/Q319724,Matterhorn-Blitz,,Mack Rides GmbH & Co KG,,16,383,15.63888888888888889014,,
http://www.wikidata.org/entity/Q319724,Matterhorn-Blitz,,Mack Rides GmbH & Co KG,,16,383,15.63888888888888889014,,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,465,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,18.3333333333333333348,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319742,Winja’s Fear & Winja’s Force,,Maurer Söhne,,17,420,16.666666666666666668,2002-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q319747,Crazy Bats,,Vekoma Rides Manufacturing B.V.,,117,1175,12.9166666666666666677,1988-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q319752,Colorado Adventure,,Vekoma Rides Manufacturing B.V.,,26,1280,13.88888888888888889,,
